Transcript_ID,Candidate_ID,Transcript,Sentiment_Score,Keywords,Outcome
T4OGSW7E7,CZW6AKGUW,I stayed calm with an upset client and de-escalated the situation.,0.53,"SLA,QA,billing",Hired
T6YIE714P,CUDD82FKH,I struggle with multitasking in high volume periods.,-0.62,"escalation,coaching,SLA",Not Hired
T3R7A7XZK,CVWR7EJDY,I find it hard to write empathetic responses.,-0.03,refunds,Not Hired
TYF299HPB,CQFZDZ91Q,I stayed calm with an upset client and de-escalated the situation.,1.04,policy,Not Hired
TTK8EJ0OZ,CLJF77EMU,I prefer phone over chat and may type slowly.,-0.34,delivery,Hired
TPRG70YJY,CW4N7WE72,I enjoy helping customers resolve issues quickly and clearly.,0.04,escalation,Not Hired
TS9G8ETN1,COENPA6TB,I sometimes miss policy details under pressure.,-0.72,billing,Not Hired
TKIR24A69,C2TQONTYP,I prefer phone over chat and may type slowly.,-0.35,QA,Not Hired
TRROENZ93,CIQWHI3NH,I document cases thoroughly and follow policy.,0.72,SLA,Not Hired
T9LQ7G3F6,C0172SRIV,I document cases thoroughly and follow policy.,0.84,"refunds,coaching,QA",Not Hired
TDR4UBE3P,CJLEVMZRP,I document cases thoroughly and follow policy.,0.61,delivery,Hired
TWGYPBJ1E,C54AFNS0P,I sometimes miss policy details under pressure.,0.12,"refunds,billing,policy",Hired
TO3IHAMRQ,C4B8CAO0C,I stayed calm with an upset client and de-escalated the situation.,1.12,"cancellation,empathy",Not Hired
TTU6U70TN,CBWO5LWPS,I struggle with multitasking in high volume periods.,-0.66,coaching,Not Hired
TLAAMQQ0T,C6J97GFTB,I document cases thoroughly and follow policy.,1.13,QA,Hired
TMPRCH2BQ,CK7IB1W6Q,I find it hard to write empathetic responses.,-0.72,"cancellation,empathy,delivery",Not Hired
T5PS17F3X,CD18DOQEH,I enjoy helping customers resolve issues quickly and clearly.,0.09,"SLA,coaching,empathy",Not Hired
TS237CL5X,COL6NCQ2G,I enjoy helping customers resolve issues quickly and clearly.,0.81,"SLA,cancellation",Hired
THABCDBK8,C90B3F0WK,I document cases thoroughly and follow policy.,0.24,"QA,policy",Not Hired
TV1FKVZL3,C35HVUEQY,I coach peers and share best practices.,-0.15,escalation,Hired
TM4QFRRAR,CQZOGND1G,I stayed calm with an upset client and de-escalated the situation.,0.18,"refunds,cancellation,escalation",Not Hired
TP6H1RLKQ,CSBIADP41,I stayed calm with an upset client and de-escalated the situation.,0.17,empathy,Hired
TRTIYN174,COOUHZYQG,I document cases thoroughly and follow policy.,0.03,empathy,Not Hired
TM805M4C7,CY1022VS4,I coach peers and share best practices.,0.29,"coaching,policy",Not Hired
T1L1W15PP,CFW4D0F0P,I document cases thoroughly and follow policy.,0.27,QA,Not Hired
T4QYUYYJY,CZY9B12PK,I document cases thoroughly and follow policy.,0.25,"delivery,refunds,QA",Not Hired
T65QHG30Z,CA543CM8U,I sometimes miss policy details under pressure.,-0.42,"refunds,billing,delivery",Not Hired
T4JDR2UPX,CSF6PY5TC,I find it hard to write empathetic responses.,-0.28,cancellation,Not Hired
TWP7JO05G,CG58985QG,I stayed calm with an upset client and de-escalated the situation.,0.22,cancellation,Not Hired
T4HYY339D,CPEJ45WEE,I struggle with multitasking in high volume periods.,-0.12,"cancellation,empathy,delivery",Not Hired
TRY5PT66I,C1N7XMAYH,I sometimes miss policy details under pressure.,-0.57,"delivery,coaching",Not Hired
TT4XTGK21,CIEZ1VEEO,I find it hard to write empathetic responses.,0.18,SLA,Not Hired
T4F1OSQA9,C1HQYX6EK,I document cases thoroughly and follow policy.,0.92,"cancellation,coaching,delivery",Hired
T9XP2N176,CNAZFX04Z,I prefer phone over chat and may type slowly.,0.09,"billing,QA,empathy",Not Hired
TIGA10GYF,CCUJHB6PM,I stayed calm with an upset client and de-escalated the situation.,1.17,"refunds,QA",Hired
TUGQ2N8P1,CCKYI9CVR,I find it hard to write empathetic responses.,-1.28,empathy,Not Hired
TU03NUGPR,CVCOE7KIT,I coach peers and share best practices.,-1.09,policy,Not Hired
T7OMW5321,CZZ319UK5,I enjoy helping customers resolve issues quickly and clearly.,0.37,delivery,Hired
T6QGZ5OHS,CPNMF4LK8,I stayed calm with an upset client and de-escalated the situation.,0.43,delivery,Hired
T4BMJ5I8Z,CKHX3K4UG,I stayed calm with an upset client and de-escalated the situation.,1.25,"QA,delivery,billing",Hired
TLXMVOV0L,C7AGIKEAY,I find it hard to write empathetic responses.,-0.16,billing,Not Hired
TPIN295HS,CFLQUXY4C,I coach peers and share best practices.,-0.05,coaching,Hired
TZBMB37Q8,C9XOOP3LG,I stayed calm with an upset client and de-escalated the situation.,0.77,"escalation,cancellation",Not Hired
THR4264LZ,CNTY3IK7P,I document cases thoroughly and follow policy.,1.05,"SLA,refunds",Hired
TY2I9DD9B,CMSU53K6S,I prefer phone over chat and may type slowly.,-1.3,"refunds,QA",Not Hired
TZBRKXMR3,CDZMB7CHA,I struggle with multitasking in high volume periods.,-0.19,escalation,Not Hired
T2W7AR2D3,CKI3FB48I,I stayed calm with an upset client and de-escalated the situation.,-0.09,billing,Not Hired
T6FIEZ67S,CMAVQ5MHF,I find it hard to write empathetic responses.,-0.02,delivery,Not Hired
TRHQDYLMA,CMFAI6T9H,I enjoy helping customers resolve issues quickly and clearly.,0.4,delivery,Not Hired
T8AR2NHIY,C4F37YMUB,I document cases thoroughly and follow policy.,0.39,"cancellation,QA,policy",Not Hired
TGTF4P4EA,CUGRMGDS8,I find it hard to write empathetic responses.,-1.14,"cancellation,billing",Not Hired
T9945U3CI,CIVY4RAK4,I coach peers and share best practices.,0.04,"billing,coaching",Not Hired
T50GKIV55,CCDQ6EQZH,I struggle with multitasking in high volume periods.,-0.33,"SLA,empathy",Not Hired
TBPRYU2AE,CYKJEAS9H,I sometimes miss policy details under pressure.,-0.72,"refunds,QA,cancellation",Hired
TYNJIMMLS,CIL6QKLVN,I stayed calm with an upset client and de-escalated the situation.,1.24,"delivery,policy,refunds",Not Hired
T68R4CO5J,CMC7G3GLV,I find it hard to write empathetic responses.,-0.58,"cancellation,delivery,coaching",Hired
T1DEGMFV3,C9SZHUCWH,I stayed calm with an upset client and de-escalated the situation.,0.02,"escalation,cancellation,coaching",Not Hired
TFEJ08FO4,C7WRPWUSF,I coach peers and share best practices.,0.27,"billing,QA",Not Hired
TPTK1P2XY,CMQLO13AN,I prefer phone over chat and may type slowly.,-0.3,SLA,Not Hired
TC14ZI7DD,CEKO45OLT,I find it hard to write empathetic responses.,0.11,"refunds,delivery,QA",Hired
TCZGK1GM7,CG2NPTP1I,I find it hard to write empathetic responses.,0.23,refunds,Hired
TOHE2SSE2,CGSUWOOY0,I coach peers and share best practices.,0.5,"escalation,cancellation,delivery",Hired
TAL5Z3H8E,C51Z8H6I8,I find it hard to write empathetic responses.,-0.06,empathy,Not Hired
TVMIVUPD8,CVIMNSN0L,I stayed calm with an upset client and de-escalated the situation.,-0.13,policy,Not Hired
T09ZIZ1Y0,C6BALHRKM,I stayed calm with an upset client and de-escalated the situation.,1.09,"empathy,refunds",Not Hired
